Scaled Score,Verbal Reasoning,Quantitative Reasoning
170,99.0,92.0
169,99.0,87.0
168,98.0,83.0
167,97.0,78.0
166,96.0,74.0
165,95.0,70.0
164,93.0,66.0
163,91.0,63.0
162,89.0,60.0
161,86.0,57.0
160,84.0,53.0
159,80.0,50.0
158,77.0,48.0
157,73.0,45.0
156,69.0,42.0
155,65.0,40.0
154,59.0,36.0
153,55.0,34.0
152,48.0,31.0
151,43.0,29.0
150,39.0,25.0
149,34.0,23.0
148,30.0,21.0
147,26.0,18.0
146,23.0,15.0
145,21.0,13.0
144,18.0,11.0
143,16.0,9.0
142,13.0,8.0
141,11.0,6.0
140,9.0,5.0
139,8.0,4.0
138,6.0,3.0
137,5.0,2.0
136,4.0,2.0
135,3.0,1.0
134,2.0,1.0
133,2.0,1.0
132,1.0,
131,1.0,
130,,
